insuretech,what_they_do,market_1,lob,ranking_2019,rating_2020,category,value_chain,market_2,potential_funding,vertical,business_lines_supported,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Clover Health,"A health insurer, utilizing a data driven system to allow for more in-depth personalization. Clover Health is reinventing the health insurance model by integrating technology into every aspect of its members’ healthcare. The Clover data and analytics platform uses continuous, real-time monitoring to prevent hospital admissions, reduce avoidable spending, and identify and better manage chronic diseases. ",Healthcare,Healthcare,Medium,Medium,Digital,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management, F&A",US,$925m,Health,Personal,F1,InsureTech Landscape,8,2020-08-03,2020-08-03,2026-05-27
Metromile,A car insurance company helping low-mileage drivers save money with a pay-per-mile insurance model.  Personal auto.  Telematics,Personal,Auto,Low,Low,Telematics,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",US,$295.5m,P&C,Personal,F1,InsureTech Landscape,9,2020-08-03,2020-08-03,2026-05-27
Oscar,"A health insurance carrier that employs technology, design, and data to transform the customer experience from end-to-end. The company also provides commercial health insurance to small businesses. ",Healthcare,Healthcare,Medium,0,CX,"Policy Acquisition, Policy Underwriting, Policy servicing, Claims Management, F&A",US,$1.3b,Health,Personal/Commercial,F1,InsureTech Landscape,10,2020-08-03,2020-08-03,2026-05-27
Lemonade,Lemonade is a licensed insurance carrier that offers homeowners and renters insurance powered by artificial intelligence and behavioral economics.  Homeowners,Personal,"Property
Renters",Low,Low,AI,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management",US,$480m,P&C,Personal,F1,InsureTech Landscape,11,2020-08-03,2020-08-03,2026-05-27
BIMA,A mobile technology venture that provides insurance and health services to low-income families and emerging markets.,Healthcare,Healthcare,Low,0,Mobile,"Policy Acquisition, Policy Underwriting, Policy Servicing, Claims Management","Africa, LATAM and APAC",$170.6m,Life and Health,Individual & Agents,F1,InsureTech Landscape,12,2020-08-03,2020-08-03,2026-05-27
Zhong An,"China's first completely online insurer, with end-to-end insurance capabilities. It sells property insurance company that sells all its products online along with handling claims.  Homeowners",Personal,Property,Low,0,Digital,"Policy Acquisition, Policy Underwriting, Policy servicing, Claims Management, F&A",P&C,$840m,P&C,Personal,F1,InsureTech Landscape,13,2020-08-03,2020-08-03,2026-05-27
Acko General Insurance,"A wholly independent digital platform proving general insurance in India, which recently received investment from Amazon. Company is transforming insurance through technology and data-based underwriting and a unique customer-centric approach. The company uses a direct-to-consumer approach for distributing motor insurance, allowing for favorable risk selection and superior underwriting. Personal Auto",Personal,Auto,Low,0,digital/CX,"Policy Acquisition, Policy Underwriting ,Policy servicing, Claims Management, F&A",India,$107m,P&C,Individual,F1,InsureTech Landscape,14,2020-08-03,2020-08-03,2026-05-27
Shift Technology,"Software as a solution for insurers, which utilizes Big Data analytics and Machine Learning technology to improve fraud detection. Company's flagship product provides insurers a decision-making platform speciﬁcally designed for their fraud handlers to scale their capacity to detect a wide spectrum of fraudulent insurance behaviors, from opportunistic to organized crime!  LUKE delivers powerful claims capabilities built around Shift's highly accurate AI decision engine.  Delivers claim automation, easy claim submission, accurate claim validation and fraud detection, immediate settlement and payout of simple claims - augments claim handlers capabilities.   FORCE is the fraud detection suite.  ",Both,"Auto, Property",High,High,ML/Big Data,Policy Underwriting,France,$99.8m,Fraud detection,Unknown,F1,InsureTech Landscape,15,2020-08-03,2020-08-03,2026-05-27
Neos,"A home insurance offering that uses technology to help prevent situations that could result in claims. Neos is an insurance company that provides smart home technology and home insurance. Neos’ home technology, which includes cameras, motion sensors and smoke detectors, alerts homeowners of a break-in, leak or fire and contacts the 24 hour monitoring team to send out the right tradespeople.  Homeowners",Personal,Property,Medium,0,Digital,Policy Acquisition,UK,$7.5 M,Security and Home protection,Unknown,F1,InsureTech Landscape,16,2020-08-03,2020-08-03,2026-05-27
Trōv,"An on-demand insurance platform that provides cover for items of importance, managed via an application on the user's mobile phone. Trōv powers digital insurance solutions for innovative businesses in the finance, insurance, mobility, and retail sectors. Mobility insurance, Single item insurance, Renters, Small business insurance",Both,"Mobility
Renters
Small Business",Low,0,On-demand,"Policy Acquisition, Policy, Underwriting, Claims Management",US,$98.8m,P&C,Unknown,F1,InsureTech Landscape,17,2020-08-03,2020-08-03,2026-05-27
