client_canonical,name_raw,bucket_strategy,priority_position,geography,strategic_named,growth_leader,client_exec,gwp,growth_pct,combined_ratio,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
QBE,QBE,Drive Solutions across existing and new clients that leverages our combined strengths,1,Australia,Strategic,Vilas,Vilas,3920 ($m),0.03,90,F1,Top Clients Shortlist,6,2020-08-03,2020-08-03,2026-05-27
CNA,C-N-A,Drive Solutions across existing and new clients that leverages our combined strengths,2,US,Strategic,Saju,Roopak Chadha,$7.7B,0.07,94.8,F1,Top Clients Shortlist,7,2020-08-03,2020-08-03,2026-05-27
Liberty Mutual,Liberty Mutual,Drive more adoption of Analytics,3,US,Strategic,Nikhil,Kuldeep,$39.8B,0.018,101.7,F1,Top Clients Shortlist,8,2020-08-03,2020-08-03,2026-05-27
Zurich,Zurich,Drive more adoption of Analytics,4,US,Strategic,Roopak,Raish Malik,$34.1B,0.061,96.4,F1,Top Clients Shortlist,9,2020-08-03,2020-08-03,2026-05-27
Hartford,Hartford,Drive more adoption of Analytics,5,US,Strategic,Saju,Kuldeep,Ross Fisher,$17B,"94 CL(97.7), PL(95)",F1,Top Clients Shortlist,10,2020-08-03,2020-08-03,2026-05-27
Hanover Insurance Group,Hanover,Drive more adoption of Analytics,6,US,Strategic,Saju,Aditya Chaturvedi,"$4,581.7 M (NWP)",0.045,95.6,F1,Top Clients Shortlist,11,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate,Accelerate decision making in existing new pursuits,7,US,Strategic,Amit Gaba,Amit Gaba,$34.8B,0.057,85,F1,Top Clients Shortlist,12,2020-08-03,2020-08-03,2026-05-27
Kemper,Kemper,Accelerate decision making in existing new pursuits,8,US,Other,Amit Gaba,Amit Gaba,$4B,30%+,93,F1,Top Clients Shortlist,13,2020-08-03,2020-08-03,2026-05-27
IAG,IAG,Accelerate decision making in existing new pursuits,9,Australia,Strategic,Vilas,Vilas,"12,135 ($m)",0.011,123,F1,Top Clients Shortlist,14,2020-08-03,2020-08-03,2026-05-27
Suncorp,Suncorp,Accelerate decision making in existing new pursuits,10,Australia,Strategic,Vilas,Viilas,8119 ($m),0.015,96,F1,Top Clients Shortlist,15,2020-08-03,2020-08-03,2026-05-27
Assurant,Assurant ,Accelerate decision making in existing new pursuits,11,US,Strategic,Roopak,Dushyant,,,,F1,Top Clients Shortlist,16,2020-08-03,2020-08-03,2026-05-27
Esure Insurance Holdings,Esure Insurance Holdings,Drive Solutions across existing and new clients that leverages our combined strengths,12,UK/Europe,Named,Mohit ,,,,,F1,Top Clients Shortlist,17,2020-08-03,2020-08-03,2026-05-27
Swiss Re,Swiss Re,Drive Solutions across existing and new clients that leverages our combined strengths,13,US,Named,Mohit,Mohit,"$42,228M",0.029,107,F1,Top Clients Shortlist,18,2020-08-03,2020-08-03,2026-05-27
Nationwide,Nationwide Insurance,Accelerate decision making in existing new pursuits,14,US,Named,Mohit,Mohit,$49.3B,0.025,94,F1,Top Clients Shortlist,19,2020-08-03,2020-08-03,2026-05-27
American Modern,American Modern,Accelerate decision making in existing new pursuits,15,US,Named,Sean,Sean,$2.5B,0.03,N/A,F1,Top Clients Shortlist,20,2020-08-03,2020-08-03,2026-05-27
Everest,Everest Insurance,Accelerate decision making in existing new pursuits,16,US,Named,Sean,Sean,$4B,0.04,88.7,F1,Top Clients Shortlist,21,2020-08-03,2020-08-03,2026-05-27
Axis,Axis,Accelerate decision making in existing new pursuits,17,US,Named,Sean,Sean,6.9,0.01,107.3,F1,Top Clients Shortlist,22,2020-08-03,2020-08-03,2026-05-27
AON,Aon,Acceleration of ramps / Deacceleration of ramp downs,18,UK/Europe,Named,Mohit,Wayne Reed,,0.019,,F1,Top Clients Shortlist,23,2020-08-03,2020-08-03,2026-05-27
Marsh,Marsh,Accelerate decision making in existing new pursuits,19,UK/Europe,Named,Mohit,Wayne Reed,,0.04,,F1,Top Clients Shortlist,24,2020-08-03,2020-08-03,2026-05-27
Aviva,Aviva,Accelerate decision making in existing new pursuits,20,UK/Europe,Strategic,Nick ,Nick ,£31.2bn,0.09,97.5,F1,Top Clients Shortlist,25,2020-08-03,2020-08-03,2026-05-27
