solution_num,offering,module,outcomes,metrics,buying_center,client_appetite,market_appetite,existing_capability_in_market,exl_capabilities_area,exl_capability_lmh,details,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
1,"FNOL ""As a Service""",1. Omni Channel Intake - provides a channel agnostic claim reporting solution for customers (broker and insured),"-Reduce claim costs - ALAE and ULAE
-Streamline and simplify the process
-Improve accuracy of assignment
-Provide early warning flags for fraud, litigation etc. reducing indemnity and legal cost
-Improve customer experience

-Simplify pricing - price per FNOL - allows for surge capacity and flexibility transferring burden to supplier
","TAT Non Voice - 95% assigned within 2 hours (most stringent)

AHT - not always measured.  HIG Measures and standard is 4.30.  (Typical AHT across commercial lines is 10 - 20min)

Quality - 88% - 95% DPU and DPO (typical is 90 - 95% DPU)

%Reassignments
Complaint Ratio

Voice ASA - 70 - 80 % answered within 20 - 25 sec industry might reflect higher)

Abandonment Rate - 2%-7%
","Chief Claim Officer
","Allstate, 
Assurant
CNA
Hanover
HIG
Liberty Mutual",High,"More research needed here
No one has tied the whole solution together.  

We are creating a one stop shop with the ability to provide data loops",Operational,High,Moderate footprint in FNOL both voice and non-voice across personal and commercial insurance,F1,P&C Solutions List,10,2020-08-03,2020-08-03,2026-05-27
1,"FNOL ""As a Service""","2. Automated Entry FNOL capability (Thin Human/Heavy Digital)- provides front end capability to ingest all types of FNOL documents across all  lines of business (Commercial and Personal) from all channels (except Voice).    App needs to extract data/content and auto populate carrier claim systems (Guidewire, Duck Creek etc..) ",,,,,,,,,,F1,P&C Solutions List,11,2020-08-03,2020-08-03,2026-05-27
1,"FNOL ""As a Service""","3. Voice Center of Excellence (COE) - provides insured/broker with the ability to report claims via phone in a workflow enabled call flow using dynamic scripts, triage and adjuster assignment. Claims Inquiry and Provider Help lines may also be part of the module.",,,,,,,Platform,Medium,"EXL's platforms services team does have an FNOL platform with the right components
We also have the ability to partner with companies like Sapiens which would increase speed to market",F1,P&C Solutions List,12,2020-08-03,2020-08-03,2026-05-27
1,"FNOL ""As a Service""",4. Acknowledgement Notice with Claim number - provides immediate notice to insured and broker that the claim has been received and a claim number assigned,,,,,,,,,,F1,P&C Solutions List,13,2020-08-03,2020-08-03,2026-05-27
1,"FNOL ""As a Service""","5. Reports and Dashboards - provides ability to capture and report real time on TAT, Volume by LOB, Volume by Channel, Quality etc..)",,,,,,,Analytics,High,EXL has experience in several analytics interventions applied for existing BPO as well as consulting/Analytics clients,F1,P&C Solutions List,14,2020-08-03,2020-08-03,2026-05-27
1,"FNOL ""As a Service""","6. Predictive Analytics - Early Indicator Flags (Fraud, Litigation, Recovery, Total Loss) - provides early indicator flags for accurate assignment, investigation cues and improved cycle time",,,,,,,,,,F1,P&C Solutions List,15,2020-08-03,2020-08-03,2026-05-27
1,"FNOL ""As a Service""",7. Cloud Hosted - provides ability to host data in the Carrier IT environment thereby protecting security and data privacy,,,,,,,Digital,Medium,"While EXL does have RPA capability, we do lack a robust functioning Extraction capability/partner
ML/NLP processing will need to be built for FNOL to enable STP",F1,P&C Solutions List,16,2020-08-03,2020-08-03,2026-05-27
1,"FNOL ""As a Service""","8.Conversational IVR to reduce FNOL Call AHT, route calls better, answer basic claim inquiry calls",,,,,,,,,,F1,P&C Solutions List,17,2020-08-03,2020-08-03,2026-05-27
1,"FNOL ""As a Service""","9. Speech Analytics - Fraud propensity, Customer Experience analytics, call flow/script optimization",,,,,,,,,,F1,P&C Solutions List,18,2020-08-03,2020-08-03,2026-05-27
2,Claim Payment as a Service,"1. Content Extraction
Intelligent data extraction from bills/invoices sent via paper/email/fax to enable automated entry and into payment systems","-Cost reduction
-Enhanced customer experience
-Improved Cost of Technology

Pricing Models:
Payments-as-a-Service vendors typically charge per transaction. The amount per transaction may change based on the number of transactions processed. Transactional charges vary based on the type of transaction. Charges are typically made for transactions such as those below. Vendors may have additional fees beyond those listed.
-Printing and mailing a paper check
-ACH fund transfer
ACH credit reversal
Issuing and initially funding a prepaid card
 Reloading a prepaid card
OFAC and death record search
Handling the 1099 process
Stop Payment
Void & Reissue
Printing and mailing a document (typically per page charge)
Escheated payment charge
Issuing and funding a virtual card
Multiparty payment (e.g. mortgagee payments or add 'l payees)
Total loss payments (these require additional signatures and processing)",,"Chief Claim Officer
Chief Financial Officer
Chief Procurement Officer","AIG
Allstate
Assurant
CNA
Hanover
HIG
Liberty Mutual
ZNA
AXIS
Everest","High

All Analysts are talking about this.  

It is a main topic at Claim events and is one of the biggest pain points right now.  

COVID is disrupting current practices due to the inability to have people work in office",See Celent report for a preliminary list of Suppliers. It is certainly not exhaustive,Operational,High,Process payments for vendors/ AP for a number of clients. Select insurance clients where we are responsible for payment disbursement ,F1,P&C Solutions List,19,2020-08-03,2020-08-03,2026-05-27
