solution_name,component,gap_description,evaluation_criteria,supplier_applicability,insuretech_partner,tpa_partner,other_partner,potential_to_build_yn,build_comments,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
"Solution 1
FNOL
",Omni Channel Intake,"1. Full scale multi-channel implementation has not been done with any client to date 
2. Mobile interface and reporting does not exist today","Market
Line of Business
Functional Capability
Applies to Solution
","Gradient/NetClaim
Crawford/Broadspire
Actec
AnsaFone
Lightico
Safelite
KORE
Gallagher Bassett
Omni.us
Shift Technology",KORE,Gallagher Bassett,Safelite,Y,KORE:  Digital Assistant,F1,Build-Buy-Partner Analysis,14,2020-08-03,2020-08-03,2026-05-27
"Solution 1
FNOL
",Automated Entry FNOL capability (Thin Human/Heavy Digital),"1. Robust and functioning extraction capability
2. A functioning bolt on FNOL interface that could work with various Claims platforms like Guidewire and Duck Creek",,,Omni.US,,Gallagher Bassett,,Omni.us - content extraction and decision support,F1,Build-Buy-Partner Analysis,15,2020-08-03,2020-08-03,2026-05-27
"Solution 1
FNOL
",Voice Center of Excellence (COE),"1. Front end (Cloud Based) Dynamically scripted FNOL tool to capture loss information to reduce AHT and improve CX
2. No onshore competitive capability",,,"Gradient/
NetClaim
KORE",Crawford/ Broadspire,"Safelite
Actec
AnsaFone",,,F1,Build-Buy-Partner Analysis,16,2020-08-03,2020-08-03,2026-05-27
"Solution 1
FNOL
",Predictive Analytics,Predictive Analytics have not been applied at FNOL but have been applied further downstream.  Decision whether to build or buy and which parts to build.,,,"Gradient/
NetClaim
Shift Technology",,,Y,,F1,Build-Buy-Partner Analysis,17,2020-08-03,2020-08-03,2026-05-27
"Solution 1
FNOL
",Cloud Hosted,EXL needs a partner with experience in client/customer sensitive data hosting on cloud compliant with regulations (AWS),,,,,AWS,,,F1,Build-Buy-Partner Analysis,18,2020-08-03,2020-08-03,2026-05-27
"Solution 1
FNOL
",Speech Analytics,Do we already have a partnership with Verint?,,,,,Verint,Y,,F1,Build-Buy-Partner Analysis,19,2020-08-03,2020-08-03,2026-05-27
"Solution 2
Payment As a Service
","Content Extraction
","1. Robust and functioning extraction capability
2. A functioning bolt on interface that could work with various systems",Payment Services from Celent Payment As a Service paper,"ACI Worldwide
Commerce Bank
Fiserv
Ingo Money
Invenger
Vpay
One Inc",,,,Y,Leverage Enterprise Solution,F1,Build-Buy-Partner Analysis,20,2020-08-03,2020-08-03,2026-05-27
"Solution 2
Payment As a Service
",Payee Portal,"EXL does not have a portal, tool, platform or bolt on solution today that could work with client ERP and claim systems",,,,,"One Inc
Commerce Bank
Avenger
Vpay
",,One Inc is the leader according to Celent,F1,Build-Buy-Partner Analysis,21,2020-08-03,2020-08-03,2026-05-27
"Solution 2
Payment As a Service
",Transactional Servicing Features,"A holistic, integrated solution with payment processing vendors (E.g. VISA) does not exist",,,,,,,,F1,Build-Buy-Partner Analysis,22,2020-08-03,2020-08-03,2026-05-27
"Solution 2
Payment As a Service
",Administrative Support and Services,An Admin portal does not exist,,,,,,,,F1,Build-Buy-Partner Analysis,23,2020-08-03,2020-08-03,2026-05-27
"Solution 3
Digitally Transforming Worker's Compensation Claims while Optimizing Medical Management  

","Medical Case Management Platform
","Platform or bolt-on solution that could work with multiple client and medical provider systems for case management, appointment co-ordination and ordering services","Market, LOB, Functional Capability","American Well - telemedicine
Clara
Gallagher Bassett
ESIS
EK Health
Strataware
Mitchell",,Gallagher Bassett,"Mitchell
EK Health",,American Well:  telemedicine,F1,Build-Buy-Partner Analysis,24,2020-08-03,2020-08-03,2026-05-27
"Solution 3
Digitally Transforming Worker's Compensation Claims while Optimizing Medical Management  

",Automated Entry Medical Record and Bill Management capability (Thin Human/Heavy Digital). ,"1. Robust and functioning extraction capability
2. A functioning bolt on FNOL interface that could work with various Claims platforms like Guidewire and Duck Creek",,,,,,Y,Leverage Enterprise Solution,F1,Build-Buy-Partner Analysis,25,2020-08-03,2020-08-03,2026-05-27
"Solution 3
Digitally Transforming Worker's Compensation Claims while Optimizing Medical Management  

","End to End Utilization Review
",`,,,,Gallagher Bassett,"Strataware
Mitchell/Genex
EK Health",,,F1,Build-Buy-Partner Analysis,26,2020-08-03,2020-08-03,2026-05-27
"Solution 3
Digitally Transforming Worker's Compensation Claims while Optimizing Medical Management  

","Medical Bill Review Capability/Platform
","Lack of MBR platform with PPO networks, RX programs, benchmarks ",,,,,"Strataware
Mitchell
EK Health",,,F1,Build-Buy-Partner Analysis,27,2020-08-03,2020-08-03,2026-05-27
"Solution 3
Digitally Transforming Worker's Compensation Claims while Optimizing Medical Management  

","Predictive Analytics Models
","EXL analytics models exist but are not stitched and packaged in a solution oriented way
Does not happen at the time of FNOL",,,Clara,,,Y,Clara:  Claim Analytics,F1,Build-Buy-Partner Analysis,28,2020-08-03,2020-08-03,2026-05-27
"Solution 3
Digitally Transforming Worker's Compensation Claims while Optimizing Medical Management  

","STP Modeling and Automation (Medical Only Claims)
 ",STP capability does not exist,,,,,,Y,,F1,Build-Buy-Partner Analysis,29,2020-08-03,2020-08-03,2026-05-27
"Solution 3
Digitally Transforming Worker's Compensation Claims while Optimizing Medical Management  

","Payment Integrity
",None,,,,,,,Need to meet with HC team,F1,Build-Buy-Partner Analysis,30,2020-08-03,2020-08-03,2026-05-27
Solution 4 New Business Processing-as-a-Service,Submission to Quote,"1.  Data extraction from Acord, email and supplementary documents
2.  APIs to communicate with top 5 agency systems
3. Digital packet with a summary of losses, risk exposure basis social-media research, financial performance summary, Aerial imagery etc.","Market
Line of Business
Functional Capability
Applies to Solution
","Zesty AI
Hyperscience
Quantemplate
concirrus
TensorFlight
Flyreel
Groundspeed
Chisel.ai
Sumyag Data Sciences
RiskAPP
KORE
Bold Penguin
Lightico","Hyperscience
Quantemplate
Concirrus
TensorFlight
Flyreel
Groundspeed
Chisel.ai
Sumyag Data Sciences
KORE
Bold Penguin
Lightico",,,,,F1,Build-Buy-Partner Analysis,31,2020-08-03,2020-08-03,2026-05-27
Solution 4 New Business Processing-as-a-Service,"Rating
","1. Data Augmentation through use of third party dataset/secondary data source
2. Integration modules that work with top 2 policy admin systems",,,,,,,,F1,Build-Buy-Partner Analysis,32,2020-08-03,2020-08-03,2026-05-27
Solution 4 New Business Processing-as-a-Service,Analytics Insights and Reporting ,"1. While EXL has a deep analytics expertise but there are no ready to deploy solutions for submission prioritization, risk assessment and selection etc.",,,"RiskAPP
Concirrus
Flyreel",,,Y,,F1,Build-Buy-Partner Analysis,33,2020-08-03,2020-08-03,2026-05-27
