area,solution,solution_id,component,feature,exl_capability,exl_capability_scale_1_5,challenges,gap_description,partner_insurtech,partner_tpa,partner_other,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Claim,FNOL-as-a- Service,FNOL,Omni Channel Intake,Provides a channel agnostic claim reporting solution for customers (broker and insured),Medium,3,"-Brokers and Insureds want the choice of reporting channels (Mobile, Web, Email, Fax, Phone) and expect a carrier to provide them with all options 
-Carriers and customers desire FNOL set up (claim # assignment) and adjuster assignment as quickly as possible in order to ensure timely investigation, evaluation reserving and resolution.  Anything more than 4 hours is often perceived as too long leading to adverse impacts on the claim and the customer experience.   
-An FNOL contains a number of data points which are important to capture quickly and accurately so they can be immediately used to predict claim outcomes, properly reserve, report losses to underwriting, price risks and manage aggregate loss costs. 
-Significant effort and cost is needed to convert unstructured, semi-structured and structured documents, embedded files, notes, ACORD forms, scans, images etc...) to useable formats.
-Customers often complain of insufficient transparency into the claim assignment process.  They do not receive timely notification of the claim number nor the adjuster ID leading to unnecessary phone calls and emails and ultimately poor customer satisfaction.  .  
-Customers and regulators require data privacy and security for all PHI, PII information shared when reporting a loss.  
","Capability exists.  
1. Full scale multi-channel implementation has not been done with any client to date 
2. Mobile interface and reporting does not exist today",Y,,,F1,Capability Gap Assessment -Ver2,3,2020-08-03,2020-08-03,2026-05-27
Claim,FNOL-as-a- Service,FNOL,Automated Entry FNOL capability (Thin Human/Heavy Digital),"Provides front end capability to ingest all types of FNOL documents across all  lines of business (Commercial and Personal) from all channels (except Voice). 
App needs to extract data/content and auto populate carrier claim systems (Guidewire, Duck Creek etc..)",Low,2,,"1. Robust and functioning extraction capability
2. A functioning bolt on FNOL interface that could work with various Claims platforms like Guidewire and DuckCreek",Y,,Y,F1,Capability Gap Assessment -Ver2,4,2020-08-03,2020-08-03,2026-05-27
Claim,FNOL-as-a- Service,FNOL,Voice Center of Excellence (COE),"Provides insured/broker with the ability to report claims via phone in a workflow enabled call flow using dynamic scripts, triage and adjuster assignment. 
Claims Inquiry and Provider Help lines may also be part of the module.",Medium,3,,"Offshore Voice FNOL capability exists with entry into client platforms.  Gap:  
1. Front end (Cloud Based) Dynamically scripted FNOL tool to capture loss information to reduce AHT and improve CX
2. No onshore competitive capability",Y,Y,Y,F1,Capability Gap Assessment -Ver2,5,2020-08-03,2020-08-03,2026-05-27
Claim,FNOL-as-a- Service,FNOL,Acknowledgement Notice Automation,Provides immediate notice to insured and broker that the claim has been received and a claim number assigned,High,5,,None,,,,F1,Capability Gap Assessment -Ver2,6,2020-08-03,2020-08-03,2026-05-27
Claim,FNOL-as-a- Service,FNOL,Reports and Dashboards,"Provides ability to capture and report real time on TAT, Volume by LOB, Volume by Channel, Quality etc..)",High,5,,None,,,,F1,Capability Gap Assessment -Ver2,7,2020-08-03,2020-08-03,2026-05-27
Claim,FNOL-as-a- Service,FNOL,Predictive Analytics,"Provides early indicator flags (Fraud, Litigation, Recovery, Total Loss) to improve assignment, investigation cues, improved cycle time, decision support",High,4,,"Capability exists.
1. Predictive Analytics have not been applied at FNOL but have been applied further downstream.  Decision whether to build or buy and which parts to build.",Y,,,F1,Capability Gap Assessment -Ver2,8,2020-08-03,2020-08-03,2026-05-27
Claim,FNOL-as-a- Service,FNOL,Cloud Hosted,Provides ability to host data in the cloud while protecting security and data privacy,Medium,3,,-EXL needs a partner with experience in client/customer sensitive data hosting on cloud compliant with regulations (AWS),,,Y,F1,Capability Gap Assessment -Ver2,9,2020-08-03,2020-08-03,2026-05-27
Claim,FNOL-as-a- Service,FNOL,Conversational IVR,"Provides for reduced FNOL Call AHT, improved call routing abilit to answer basic claim inquiry calls",High,5,,None,,,,F1,Capability Gap Assessment -Ver2,10,2020-08-03,2020-08-03,2026-05-27
Claim,FNOL-as-a- Service,FNOL,Speech Analytics,"Fraud propensity, Customer Experience analytics, call flow/script optimization",High,4,,We already have a partnership with Verint?,,,,F1,Capability Gap Assessment -Ver2,11,2020-08-03,2020-08-03,2026-05-27
Claim,Payment-as-a Service,PaaS,"Content Extraction
",Intelligent data extraction from bills/invoices sent via paper/email/fax to enable automated entry and into payment systems,Low,2,"-Insurers make a significant number of claims payments annually. It’s an expensive process — not just in terms of the physical costs of printing, paper, and postage, but human beings are needed to answer questions, manage accounting, and oversee reconciliation. It’s a very non-strategic backroom process.
'-Today’s claimants expect fast, transparent claims payments with the ability to choose the payment mechanism — including newer mechanisms such as Venmo or Zelle. 
'-Vendor recipients want a method that makes it simple and efficient for them to process and reconcile as well. -Claims payment recipients expect much more flexibility in how their payment is handled and transparency in the process history. 
-Individuals expect to be able to choose how they want to receive their money — whether by check, debit card, ACH, Venmo, or other mechanisms. 
-Businesses don’t want to be overwhelmed with multiple payments on individual transactions; they want taxes and liens to be handled appropriately; and they also want self-service capabilities to track and reconcile payments.
-An increasing number of insurers are questioning the overall costs of handling payments. Rather than modifying their software systems in order to provide new capabilities, they’re deciding to outsource the entire process.","1. Robust and functioning extraction capability
2. A functioning bolt on interface that could work with various systems",Y,,Y,F1,Capability Gap Assessment -Ver2,12,2020-08-03,2020-08-03,2026-05-27
