parameter,option_1,option_2,option_3,option_4,option_5,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Works with Competition and not with EXL,Yes,No,,,,F1,Client Prioritization Framework,5,2020-08-03,2020-08-03,2026-05-27
Combined Ratio,>80,80 - 90,90 - 100,100 - 110,>110,F1,Client Prioritization Framework,6,2020-08-03,2020-08-03,2026-05-27
"Renewal Time Frame (0 - 12 months, 12 - 24 months, >24 months)",0 - 12 month,12 - 24 months,>24 months,,,F1,Client Prioritization Framework,7,2020-08-03,2020-08-03,2026-05-27
Outsource,Yes,No,,,,F1,Client Prioritization Framework,8,2020-08-03,2020-08-03,2026-05-27
"Future TCV Potential ($M - $5M, $5 - $10M, >$10M)",$M - $5M,$5M - $10M,>$10M,,,F1,Client Prioritization Framework,9,2020-08-03,2020-08-03,2026-05-27
Works with Competition and not with EXL,2,1,,,,F1,Client Prioritization Framework,13,2020-08-03,2020-08-03,2026-05-27
Combined Ratio,1,2,3,4,5,F1,Client Prioritization Framework,14,2020-08-03,2020-08-03,2026-05-27
"Renewal Time Frame (0 - 12 months, 12 - 24 months, >24 months)",3,2,1,,,F1,Client Prioritization Framework,15,2020-08-03,2020-08-03,2026-05-27
Outsource,2,1,,,,F1,Client Prioritization Framework,16,2020-08-03,2020-08-03,2026-05-27
"Future TCV Potential ($M - $5M, $5 - $10M, >$10M)",1,2,3,,,F1,Client Prioritization Framework,17,2020-08-03,2020-08-03,2026-05-27
