competitor,lob_segment,function,scale,delivery_locations,transformation_philosophy,digital_solutions,partnerships,showcase_clients,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
WNS,Personal Lines,Sales & Service,No other UK based PL insurance client apart from Aviva.,"South Africa, India","Outcome driven transformation aimed at impacting NPS, Efficiency and NWP.

Key Metrics - CSAT, Cost to Serve, Digital Containment, Retention rate, Cross/up selling, Premium Leakage, Online dropout yields, Complaints Reduction, FCR improvement, Call elimination etc.","▪Agent Assist (Partner Solution - Uniphore)
▪AI Coaching and Gamification (Partner Solution - Datagamz)
▪Unified Agent Desktop (Appian delivered in-house via WNS Vuram)
▪Knowra+ (Gen AI enabled Knowledge Mgmt.) (Proprietary solution)
▪Unified Analytics Platform (Proprietary Solution)
▪RPA (UIPath/AA/BluePrism)
▪Conversational AI (can be delivered on multiple tech stacks as per client need)
▪
▪Skense IDP Solution (Proprietary solution)","Uniphore, Datagamz","Suncorp (500 FTEs across Philippines and India), IAG, Allstate (900 FTEs, not sure how much of this 900 is Sales and Service)",F3,Personal Lines,3,2023-01-01,2023-01-01,2026-05-27
WNS,Personal Lines,Underwriting Operations,"Very limited UK PL clients apart from Aviva. Multiple clients in broader P&C/Specialty segment within UK (Mosaic, Howden, Aventum, Apollo, Canopius).
Other clients include Suncorp, IAG.",India (miniscule middle office presence in UK however for Ageas this would be delivered predominantly from India),"Driving efficiency and effectiveness and focussing on improving key business metrics.

Key focus would be on STP, auto renewals uptick, triaging efficiency, MTA productivity, reduction in cancellation and lapse rate etc.","▪Skense IDP Solution (Proprietary solution)
▪Digital workbench (quote to buy, endorsement mgmt. etc.) (Proprietary on Appian, whitelabelled on evoluteIQ)
▪Unified Analytics Platform (Proprietary Solution)
▪RPA (UIPath/AA/BluePrism)
▪Knowra+ (Gen AI enabled Knowledge Mgmt.) (Proprietary solution)
▪Enabling workflows/case management solutions",,"Suncorp, IAG, Aviva",F3,Personal Lines,4,2023-01-01,2023-01-01,2026-05-27
WNS,Personal Lines,Claims Operations,"Zurich, multiple WNS Assistance clients serviced out of Ipswich (motor claims business)
Other clients include Suncorp etc.","India, UK (WNS Assistance business)","Transformation within Claims would aim to deliver efficiency, as well as effectiveness benefits particularly in relation to indemnity spends, fraud savings, payment leakages and overall CSAT.
Segment the portfolio in terms of Expert and Express Claims.

Outline WNS Assistance capabilities around privately managed UK wide Repair networks etc.  in order to project a broader end to end claims servicing capability especially within Motor LoB.","▪Claims STP Solution (Joint IP solution with RightIndem, BAIL, Tractable and other insurtech partners) - Solution fits really well for a PL client like Ageas.
▪Skense IDP Solution (Proprietary solution)
▪Personal Injury and Credit Hire Solution (Proprietary solution built on Appian)
▪Unified Analytics Platform (Proprietary Solution)
▪Agent Assist (Partner Solution - Uniphore)
▪AI Coaching and Gamification (Partner Solution - Datagamz)
▪RPA (UIPath/AA/BluePrism)
▪Art of the possible solutions like IoT based Escape of Water preventive solution etc.","RightIndem, BAIL (part of Verisk)","Zurich UK (450 FTEs across Glasgow, Pune and Bangalore)",F3,Personal Lines,5,2023-01-01,2023-01-01,2026-05-27
WNS,Personal Lines,Finance Operations,"Aviva, MMC, multiple others in P&C and Specialty (Mosaic, Mcgill, Howden, Aventum, Apollo, Canopius)","India, Sri Lanka","Transformation to deliver efficiency within the entire Finance value chain. 

Target improvement in key metrics - DPO, DSO, rationalise month end close, cycle time reduction.

Solution would be positioned under the Finance One Office umbrella with individual solutions being categorised under one of these levers - Touchless, Liquidity Optimisation, Control & Compliance, Action Dashboards, Cost Reduction, Utilisation 

WNS will also likely position DENALI, SmartCube, OptiBuy and offer an end to end Procurement + Finance proposition.","▪Skense IDP Solution (Proprietary solution)
▪WNS CFO Trac is the end to end Finance suite with following components
   ▪P2P  (Invoice Automation, Supplier Portal, e-Invoicing, T&E, Vendor Recons, Duplicates Mgmt.) - Proprietary as well as parter solutions like JIFFY.AI, TradeShift etc. (some of the partner solutions are white listed)
   ▪Quote to Sustain (Cash Application, Collections Mgmt., Credit) - Partner solution Emagia
   ▪Record to Analyse (Close Mgmt., Journal Entry, Reconciliation) Proprietary as well as partner solutions like BlackLine.
▪Finance Intelligence in a box (FIAB) (Proprietary)
▪RPA (UIPath/AA/BluePrism)
▪Enabling workflows/case management solutions","EMAGIA, TradeShift, JIFFY.AI, BlackLine",Aviva (975 FTEs across India and Sri Lanka),F3,Personal Lines,6,2023-01-01,2023-01-01,2026-05-27
WNS,Personal Lines,HR Operations,Bit of HR operations done for UK BFS clients.,India,"Efficiency driven initiatives looking to lower total cost of operations.
Target key metrics across the hire to retire value chain - Hiring throughput, Offer Acceptance, retention, ESAT etc.","▪WNS Amelia  HR conversational AI Solution (Proprietary Solution)
▪WNS SmartRecruiters New Hiring and Onboarding (Proprietary Solution)
▪TalentTurf Performance Management Solution (Proprietary Solution)
▪WNS GLINT Learning and Knowledge Mgmt. Platform (Proprietary Solution)
▪Enabling workflows/case management solutions
▪RPA (UIPath/AA/BluePrism)","TMF, ADP (Last Mile Payroll providers)",LSE (London Stock Exchange),F3,Personal Lines,7,2023-01-01,2023-01-01,2026-05-27
WNS,Personal Lines,(General Theme),Embedded Analytics would be a theme throughout across process areas.,,,,,,F3,Personal Lines,9,2023-01-01,2023-01-01,2026-05-27
WNS,Personal Lines,(General Theme),Use of Process Mining platform like Celonis to constantly review and improve processes would be positioned across all process areas.,,,,,,F3,Personal Lines,10,2023-01-01,2023-01-01,2026-05-27
WNS,Commercial,"Underwriting Operations (Pre Bind, Post Bind, Policy Admin)","US Clients include - Travelers, Philadelphia, Grange
UK - Multiple clients in broader P&C/Specialty segment within UK (Mosaic, Mcgill, Howden, Aventum, Apollo, Canopius).
APAC clients include Suncorp, IAG.","India, Costa Rica, Philippines, UK (middle office for some UK clients)","Driving efficiency and effectiveness and focussing on improving key business metrics.

Key focus would be on STP, auto renewals uptick, triaging efficiency, MTA productivity, reduction in cancellation and lapse rate etc.","▪Skense IDP Solution (Proprietary solution)
▪Digital Underwriting workbench (submissions, quote, post-bind, endorsement mgmt. etc.) (Proprietary on Appian, whitelabelled on evoluteIQ)
▪Unified Analytics Platform (Proprietary Solution)
▪RPA (UIPath/AA/BluePrism)
▪Knowra+ (Gen AI enabled Knowledge Mgmt.) (Proprietary solution)
▪Enabling workflows/case management solutions","Appian, RPA CoE (UIPath, AA etc.)","Philadelphia, Howden, Suncorp",F3,Commercial,3,2023-01-01,2023-01-01,2026-05-27
WNS,Commercial,Claims Operations,"US Clients include - Travelers, Philadelphia, Grange

UK - Zurich, multiple WNS Assistance clients serviced out of Ipswich (motor claims business)
APAC - Other clients include Suncorp etc.","India, UK (WNS Assistance business), Costa Rica, Philippines","Transformation within Claims would aim to deliver efficiency, as well as effectiveness benefits particularly in relation to indemnity spends, fraud savings, payment leakages and overall CSAT.
Segment the portfolio in terms of Expert and Express Claims. Target STP within the express claims portfolio.
","▪Claims Workbench (Proprietary on Appian, whitelabelled on evoluteIQ)
▪Claimonix - End to end proprietary claims management solution (this is the backbone for the assistance business again consumer focussed however can be projected if client has a need for end to end claims mgmt.)
▪Skense IDP Solution (Proprietary solution)
▪Unified Analytics Platform (Proprietary Solution)
▪Agent Assist (Partner Solution - Uniphore)
▪AI Coaching and Gamification (Partner Solution - Datagamz)
▪RPA (UIPath/AA/BluePrism)
▪Claims STP Solution (Joint IP solution with RightIndem, BAIL, Tractable and other insurtech partners) - Solution fits really well for PL clients however not for commercial lines","RightIndem, BAIL (part of Verisk)","Not too sure about US footprint in Claims.

Zurich UK (450 FTEs across Glasgow, Pune and Bangalore)",F3,Commercial,4,2023-01-01,2023-01-01,2026-05-27
WNS,Commercial,Finance Operations,"UK -  Aviva, MMC, multiple others in P&C and Specialty (Mosaic, Mcgill, Howden, Aventum, Apollo, Canopius)","India, Sri Lanka, UK (bit of UK middle office)","Transformation to deliver efficiency within the entire Finance value chain. 

Target improvement in key metrics - DPO, DSO, rationalise month end close, cycle time reduction.

Solution would be positioned under the Finance One Office umbrella with individual solutions being categorised under one of these levers - Touchless, Liquidity Optimisation, Control & Compliance, Action Dashboards, Cost Reduction, Utilisation 

WNS will also likely position DENALI, SmartCube, OptiBuy and offer an end to end Procurement + Finance proposition.","▪Skense IDP Solution (Proprietary solution)
▪WNS CFO Trac is the end to end Finance suite with following components
   ▪P2P  (Invoice Automation, Supplier Portal, e-Invoicing, T&E, Vendor Recons, Duplicates Mgmt.) - Proprietary as well as parter solutions like JIFFY.AI, TradeShift etc. (some of the partner solutions are white listed)
   ▪Quote to Sustain (Cash Application, Collections Mgmt., Credit) - Partner solution Emagia
   ▪Record to Analyse (Close Mgmt., Journal Entry, Reconciliation) Proprietary as well as partner solutions like BlackLine.
▪Finance Intelligence in a box (FIAB) (Proprietary)
▪RPA (UIPath/AA/BluePrism)
▪Enabling workflows/case management solutions","EMAGIA, TradeShift, JIFFY.AI, BlackLine","Aviva (975 FTEs across India and Sri Lanka)
MMC
Mosaic??",F3,Commercial,5,2023-01-01,2023-01-01,2026-05-27
WNS,Commercial,"Delegated Operations (Coverholder/Binder Setup, Audit, Bordereaux Processing)","DUAL (Howden), Aventum, Howden, Mosaic",India,"Efficiency within the bordereaux mapping, cleansing and standardisation space.
Coverholder and DA analytics providing insights on the overall book.","▪Skense IDP Solution (Proprietary solution)
▪WNS Metamorph (Bordereaux Automation Solution)
Allied services across Bordereaux platform advisory and implementation support
▪Unified Analytics Platform (Proprietary Solution)",,DUAL,F3,Commercial,6,2023-01-01,2023-01-01,2026-05-27
WNS,Commercial,(General Theme),Embedded Analytics would be a theme throughout across process areas.,,,,,,F3,Commercial,9,2023-01-01,2023-01-01,2026-05-27
WNS,Commercial,(General Theme),Use of Process Mining platform like Celonis to constantly review and improve processes would be positioned across all process areas.,,,,,,F3,Commercial,10,2023-01-01,2023-01-01,2026-05-27
