client_canonical,client_raw,country,location,ftes,vertical_bu,areas_of_operations,type_of_operations,geos_served,leader_subjective_commentary,covid_impact,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
MetLife,Metlife,India,"• Noida, India
• Jaipur, India
• Queretaro, Mexico",4500,"• Individual & Group Ins
• P&C
• Corporate Functions","• Back office
• Analytics
• Actuarial support","BPO, F&A, Consulting, Corporate Functions",Global,"Kush Kamra
Yes we have a connect",No they are not as per our knowledge. The business is stable and the team members are working from home in India.,F2,Captives in India,3,2021-06-30,2021-06-30,2026-05-27
Allstate,Allstate,India,"• Pune, India
• Bangalore, India
• Northern Ireland","• India - 3,000
• Northern Ireland - 2,000",Insurance,"• Pune, India - Back office
• Bangalore, India - Technology
• Northern Ireland - Technology",BPO,US,"• Suren Gupta, Allstate CIO (responsible for all Captives)
• Chetan Garga, MD (Allstate India Captive)","At an enterprise level, may move to 70-30 WFO-WFA split for the long-term.",F2,Captives in India,4,2021-06-30,2021-06-30,2026-05-27
Equitable,Equitable,India,"• Pune, India",200 - 400,Insurance,"• Back office
• Contact center","Business, F&A, IT BPO, Actuarial",,We have an existing connect,Have not inquired.,F2,Captives in India,5,2021-06-30,2021-06-30,2026-05-27
Guardian Life,Guardian Life Insurance Co,India,"• Gurgaon, India
• Chennai, India",1500 - 1700,"• New Business setup
• Maintenance and Billing
• Individual Market – similar processes to Group
• Underwriting
• F&A process
• IT Department
• Process Excellence
• Reporting
• Absence Management","• Group and Individual Back Office
• ITO
• Absence Back office
• Project management
• Reporting Analytics","BPO, Corporate Functions",,"Ajay Jain, Yes we have a connect","There was a temporary shutdown, post which they enabled Work from Home",F2,Captives in India,6,2021-06-30,2021-06-30,2026-05-27
Principal Financial,Principal,India,"• Pune, India",1400+,Insurance,"Principal Global Services (PGS) supports the Global Business Units viz. Retirement Income Solutions (RIS), Specialty Benefits Division (SBD), Life Insurance, Principal International, Principal Global Investors and Corporate Systems. 
Typical job functions consist of 
1. Back office activities in the areas of Pensions and Insurance such as: new enrollments, disbursements, loans, benefit events, financial claims processing, medical underwriting, actuarial services, accounting processes, customer servicing requests etc.
2. IT Application Services includes Application Development and maintenance, Business Analysis, Design & architecture, Quality Assurance","BPO, IT Application Services/ITES",Global,Abhijit Danke – COO for Captive,,F2,Captives in India,7,2021-06-30,2021-06-30,2026-05-27
AXA,AXA XL (XL Catlin),India,"• Gurgaon, India",~1000 - 1300,Insurance ,"• Underwriting support
• Claims administration
• Actuarial services
• Finance and accounting for XL Catlin’s teams across the world","BPO, F&A",Global,"• Derek Nazareth, XL Catlin’s Head of Global Operations and Country Head for India 
• Myron Hendry, Chief Platform Officer and Adrian Spieler, Insurance Platform Officer
• Jeff Brown - who joined CNA as SVP Operations had set up and used to ru n this Shared Seriviced Center untill 2017 before joining CNA","They are keeping the onshore colleagues or temp ones on standby for any situation due to Covid. No additional hiring in Gurgaon. Struggling with offshore volumes, however since it is a captive unit, it is being managed with extended deadlines.",F2,Captives in India,8,2021-06-30,2021-06-30,2026-05-27
Mercer,Mercer,India,"• Gurgaon / Noida, India",~5000,"• Actuarial (Retirement Benefits)
• HR Consulting
• Investment Consulting
• Health & Benefits (Defined Benefits, Defined Contribution)
• Healthcare Claims
• Finance","• Back Office
• Technology
• Analytics","Consulting, Actuarial, F&A, BPO (Captive)",Global,"Bala Viswanathan (COO)
","They are keeping the onshore colleagues or temp ones on standby for any situation due to Covid. No additional hiring in Gurgaon or Noida. Struggling with offshore volumes, however since it is a captive unit, it is being managed with extended deadlines.",F2,Captives in India,9,2021-06-30,2021-06-30,2026-05-27
Manulife,Manulife Data Services Inc. ,Philippines,"Diliman, Quezon City, MM",,Life Insurance,"Claims, Policy Administration, New Business","BPO, IT Shared Services",,Connection: Barbara Gatbonton - Head of Business Relationships,30% WFO / 70% WFH,F2,Captives in the Philippines,3,2021-06-30,2021-06-30,2026-05-27
Sun Life,Sun Life of Canada,Philippines,"Taguig City, MM",2000+,Life Insurance / H&A Insurance / Group Insurance,All back-office work from New Business to Claims as well contact center for servicing and claims (PH clientele),"Inhouse back-office work from New Business to Claims
Contact Center - Customer Service (Servicing and Claims)",PHP,Kshitij Kohli - Head of SunLife's Asia Service Centre (previous SAVP in EXL for TRV),We can connect with Kshitij Kohli to get the numbers,F2,Captives in the Philippines,4,2021-06-30,2021-06-30,2026-05-27
AIA Philamlife,AIA Philamlife,Philippines,"Makati City, MM",400+,Life Insurance / H&A Insurance / Group Insurance,All back-office work from New Business to Claims as well contact center for servicing and claims (PH clientele),"Inhouse back-office work from New Business to Claims
Contact Center - Customer Service (Servicing and Claims)
IT Services: Minimal in the Philippines, usually done in AIA HK",PHP,"Advanced Automation across all PH based insurance companies

Connections:  Stephen Segismundo - Ops VP and Metro Manila Zone Head

",10% WFO / 90% WFH,F2,Captives in the Philippines,5,2021-06-30,2021-06-30,2026-05-27
FWD Insurance,FWD Insurance,Philippines,"Taguig City, MM",250,"Claims / New Business Services
Life Insurance, Health Insurance, Investments","New Business Services to Claims
","BPO - Back Office in the Philippines

The back office processes of FWD are done specific to the country of operations. 

IT Shared Services done in 3 countries (Malaysia, Philippines, China
",,"Connection: Adam Cagaoan (Head of Policy Services Operations
Floro ""Jun""  Marasigan Jr.- Chief Agency Officer
Rozanne Parungao - Chief People & Culture Officer


",10% WFO / 90% WFH,F2,Captives in the Philippines,6,2021-06-30,2021-06-30,2026-05-27
InLife,InLife (aka Insular Life),Philippines,"Alabang, Muntinlupa City, MM","300+
(this is a local, privately held company)","Personal Life Insurance, Group and Business Insurance, Health & Accident Insurance, Bancassurance","Claims / New Business Services
Life Insurance, Health Insurance, Investments",Inhouse back-office work from New Business to Claims,,No connections,80% WFO / 20% WFH,F2,Captives in the Philippines,7,2021-06-30,2021-06-30,2026-05-27
AXA Philippines,AXA Philippines,Philippines,"Makati City, MM",500+,"Claims / New Business Services
Life Insurance, Health Insurance, Investments, Bancassurance (Metrobank & PSBank)",All back-office work from New Business to Claims as well contact center for servicing and claims - combination of PH clients and international business,Inhouse back-office work from New Business to Claims,,"Formed by AXA Group (Paris, France) and Metrobank Group in the Philippines; Also partnered with Charter Ping-An for Motor Insurance/ P&C

No direct contact:  Rahul Hora, CEO of Philippine Operations",70% WFO / 30% WFH (estimated as per Contact Us),F2,Captives in the Philippines,8,2021-06-30,2021-06-30,2026-05-27
QBE,QBE,Philippines,"Manila and Cebu, PHP",~3500 - 4500,Insurance,"- Operations across Australia, UK/EU, North America
- F&A Operations
- Enterprise Services (IT, Global HR, Data & Reporting, QA, CAT Modeling, Internal)","BPO (Insurance and F&A), Analytics, IT Support","UK / EU, US, Australia","- Group Executive - Matt Mansour, Global CIO; recently took over from Mel Parks, who was Global Chief Transformation Officer. Samir Kumar, Head of GSSC reports to Matt, joined QBE recently (early this year?)
- Rohit & Vikas B both had an introductory meeting with Matt; Vikas K and Vilas M have connected with Samir exploring GSSC Transformation support, one of Group's focus areas",They are looking to re patriating some of the finance roles to near shore locations in the UK and the US,F2,Captives in the Philippines,9,2021-06-30,2021-06-30,2026-05-27
