client_canonical,client_raw,competitor_canonical,competitor_raw,lob_segment,ftes_or_revenue_freetext,competitor_segment_supported,research_notes,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Allstate,Allstate,Captive,Captive,P&C,5000 FTEs (India) & 150-200 FTEs (Mexico),,,F4,P&C Clientwise,3,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,WNS,WNS,P&C,300-500 FTEs,,,F4,P&C Clientwise,4,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,Accenture,Accenture,P&C,300-500 FTEs,,,F4,P&C Clientwise,5,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,Foundever,foundever,P&C,300 FTEs,,,F4,P&C Clientwise,6,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,Qualfon,Qualfon,P&C,Unknown,,,F4,P&C Clientwise,7,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,EY,EY,P&C,Unknown,,,F4,P&C Clientwise,8,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,Infosys,Infosys,P&C,,Technology Contractors,,F4,P&C Clientwise,9,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,ResourcePro,ResourcePro,P&C,$2.5-3M,,,F4,P&C Clientwise,10,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Accenture,Accenture,P&C,$4-5M,,"Product & Pricing - ML-driven forecasting models for pricing and risk
Underwriting - Accelerated ML models, analytics foundation, AI-enabled decisions
Policy Administration - Automation and improved workflows
Claims - Faster insights for claims assessment & decision support
Risk Management - Stronger data infrastructure and advanced predictive analytics
Enterprise Operations / IT - Modern cloud-enabled architecture and automation",F4,P&C Clientwise,11,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Quantiphi,quantiphi,P&C,$2-3M,,,F4,P&C Clientwise,12,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Atos,Atos,P&C,Unknown,,"Product & Pricing - Indirectly enabled through modernized IT and analytics-ready cloud infrastructure
Distribution (Agents/Brokers) - Digital workplace, cloud-first systems improving broker & agent user experience
Underwriting - Hybrid cloud modernization improves availability of data & systems underwriting relies on
Policy Administration - Mainframe modernization & legacy app migration streamline core systems
Claims - Digital workplace & cloud agility enhance claims processing responsiveness
Customer Service - Cloud-enabled infrastructure and new digital services improve insured interactions
Enterprise Operations / IT - Full IT infrastructure management, cloud migration, modernization model",F4,P&C Clientwise,13,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Google,Google,P&C,Unknown,,,F4,P&C Clientwise,14,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Workday,Workday,P&C,Unknown,,"Financial Management & Reporting (Core to Policy, Claims, and Underwriting Operations)
Operational Efficiency & IT Modernization (Supporting all value‑chain stages)
Accounting Automation (Supports Policy, Claims & Reinsurance Accounting)
Planning, Forecasting & Financial Modeling (Enterprise‑level P&C planning)
Supplier Management & Procurement (Supports claims vendors, IT suppliers, third‑party administrators)
Enterprise‑Wide Cloud Transformation & Integration",F4,P&C Clientwise,15,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Microsoft,Microsoft,P&C,Unknown,,,F4,P&C Clientwise,16,2024-06-01,2024-06-01,2026-05-27
Nationwide,Nationwide,Cognizant,Cognizant,P&C,,UW support & service,"Product & Pricing - No publicly documented involvement
Distribution / Sales - Indirect support via streamlined ops
Underwriting - No direct underwriting functions reported
Policy Administration - Back-office processing, documentation handling
Claims (Support Functions) - Administrative support that enhances claims workflow efficiency
Billing & Payments - Supported through general back-office BPO functions
Customer Service - Indirect—improved internal efficiency frees staff capacity
Enterprise Operations / IT - Major outsourcing of operational processes to enhance efficiency",F4,P&C Clientwise,17,2024-06-01,2024-06-01,2026-05-27
Nationwide,Nationwide,McKinsey,McKinsey,P&C,,Consulting on Claims Field Service Model,,F4,P&C Clientwise,18,2024-06-01,2024-06-01,2026-05-27
Nationwide,Nationwide,Accenture,Accenture,P&C,,Consulting,,F4,P&C Clientwise,19,2024-06-01,2024-06-01,2026-05-27
Nationwide,Nationwide,EY,EY,P&C,,Consulting,,F4,P&C Clientwise,20,2024-06-01,2024-06-01,2026-05-27
Zurich,Zurich NA,Genpact,Genpact,P&C,,"Claims, Finance, Global procurement support​","Product Development - Data-driven insights, actuarial analytics
Marketing & Distribution - Sales enablement operations, broker/MGA support [genpact.com]
Underwriting - AI‑enhanced underwriting ops, submission triage, risk scoring
Policy Administration - Issuance, endorsements, renewals, servicing optimization
Claims Management - FNOL, claims data processing, subrogation & fraud analytics [genpact.com]
Reinsurance - Claims recovery optimization, data management
Procurement - Global Source‑to‑Pay transformation (direct Zurich engagement)
Finance - F&A managed services, premium & claims accounting support
Risk & Compliance - Regulatory support, fraud & risk analytics
Tech Modernization - Cloud, Salesforce, AWS, AI/ML engineering",F4,P&C Clientwise,21,2024-06-01,2024-06-01,2026-05-27
Zurich,Zurich NA,Capgemini,Capgemini,P&C,,Technology & IT partner​,,F4,P&C Clientwise,22,2024-06-01,2024-06-01,2026-05-27
Zurich,Zurich NA,Mphasis,Mphasis,P&C,~70FTEs in Pune – wallet spend around $1M,Underwriting support partner​,"Distribution/CX - Front2Back™ digital journeys; broker/agent portals; middleware
Underwriting - Data ingestion, triage, AI risk scoring; Mphasis–Sixfold AI UW acceleration
Policy admin - Wynsure PAS (quote‑bind‑endorse‑renew); core modernization & AMS
Claims - FNOL, cognitive document processing (DeepInsights™), severity/subro analytics, STP
Reinsurance/Specialty - Bordereaux & treaty ops; Lloyd’s/specialty managed services
Data & AI - DeepInsights™ for unstructured data; reusable features for UW/claims
Cloud & Integration - Core/platform integration, API enablement, cloud migration; onshore locations",F4,P&C Clientwise,23,2024-06-01,2024-06-01,2026-05-27
Zurich,Zurich NA,Cognizant,Cognizant,P&C,,Technology partner,,F4,P&C Clientwise,24,2024-06-01,2024-06-01,2026-05-27
