client_canonical,competitor_canonical,num_engagements,total_ftes_estimated,revenue_usd_m_estimated,functions_covered,renewal_windows,comments_concat,current_status_concat,f4_segments_supported,f4_research_notes,owner,friction_signals,source_refs,file_vintages_touched,ingestion_date
AON,Genpact,5,490.0,,UW,,Underwriting Support CSU; Underwriting Support Invoicing; Underwriting Support DPU; Underwriting Support Policy Admin; Underwriting Support Policy Admin,"Xtrakto led automated entry, consultng work in EMEA, $10M automated entry pipeline established. Multiple deal ideas of at least $50M TCV presented",,,Roopak,,F5/Competitor Analysis/R46; F5/Competitor Analysis/R47; F5/Competitor Analysis/R48; F5/Competitor Analysis/R49; F5/Competitor Analysis/R50,2021-02-21,2026-05-27
Allstate,Accenture,1,300.0,,,,,,,,,,F4/P&C Clientwise/R5,2024-06-01,2026-05-27
Allstate,Captive,1,5000.0,,,,,,,,,,F4/P&C Clientwise/R3,2024-06-01,2026-05-27
Allstate,EY,1,,,,,,,,,,,F4/P&C Clientwise/R8,2024-06-01,2026-05-27
Allstate,Foundever,1,300.0,,,,,,,,,,F4/P&C Clientwise/R6,2024-06-01,2026-05-27
Allstate,Genpact,2,,,,,,,,,,,F5/Competitor Analysis/R33; F5/Competitor Analysis/R37,2021-02-21,2026-05-27
Allstate,Infosys,1,,,,,,,Technology Contractors,,,,F4/P&C Clientwise/R9,2024-06-01,2026-05-27
Allstate,Qualfon,1,,,,,,,,,,,F4/P&C Clientwise/R7,2024-06-01,2026-05-27
Allstate,WNS,1,300.0,,,,,,,,,,F4/P&C Clientwise/R4,2024-06-01,2026-05-27
AmTrust,WNS,1,,,,,,,,,,,F5/Competitor Analysis/R66,2021-02-21,2026-05-27
American Modern,Cognizant,1,,,,,,,Supports other Munich Re entities,,,,F4/P&C Clientwise/R52,2024-06-01,2026-05-27
American Modern,TCS,1,,,,,,,Supports other Munich Re entities,,,,F4/P&C Clientwise/R50,2024-06-01,2026-05-27
American Modern,WNS,1,,,,,,,"WNS F&A , IT,UW services supports other Munich Re entities",,,,F4/P&C Clientwise/R51,2024-06-01,2026-05-27
Aspen,Genpact,1,,,,,,,,,,,F5/Competitor Analysis/R38,2021-02-21,2026-05-27
Assurant,Assurant GCC,1,,,,,,,,,,,F4/P&C Clientwise/R45,2024-06-01,2026-05-27
Assurant,Capgemini,1,,,,,,,,,,,F4/P&C Clientwise/R44,2024-06-01,2026-05-27
Assurant,TCS,1,,,,,,,,"Policy Administration & Back‑Office Processing (Direct Evidence)
Billing, Payments, Collections & Financial Operations (Direct Evidence)",,,F4/P&C Clientwise/R43,2024-06-01,2026-05-27
