client_canonical,trigger_id,trigger_name,matched_solutions,matching_basis,evidence_sources
AON,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
AON,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F5/Competitor Analysis/R46; F5/Competitor Analysis/R47; F5/Competitor Analysis/R48; F5/Competitor Analysis/R49; F5/Competitor Analysis/R50
AON,function_headroom,Competitor parked in function with high EXL retention headroom,,unmatched,F5/Competitor Analysis/R46; F5/Competitor Analysis/R47; F5/Competitor Analysis/R48; F5/Competitor Analysis/R49; F5/Competitor Analysis/R50
AXIS US Operations,cost_pressure,Combined ratio > 100 (cost-pressure),EXL Paymentor; EXL Digital Finance Suite; EXL XTRAKTO.AI; EXL NerveHub,cost_pressure -> F&A + intake stack,client_profile (derived from F1/Top Insurers and Brokers + sheet3)
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F4/P&C Clientwise/R5
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F4/P&C Clientwise/R3
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F4/P&C Clientwise/R6
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F4/P&C Clientwise/R4
Allstate,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),EXL NerveHub; EXL XTRAKTO.AI; EXL EXELIA.AI; EXL Paymentor,concentration -> sequenced multi-solution via NerveHub,client_engagements_summary (derived from F4 + F5)
Amer Family Ins Group,cost_pressure,Combined ratio > 100 (cost-pressure),EXL Paymentor; EXL Digital Finance Suite; EXL XTRAKTO.AI; EXL NerveHub,cost_pressure -> F&A + intake stack,client_profile (derived from F1/Top Insurers and Brokers + sheet3)
American Family,cost_pressure,Combined ratio > 100 (cost-pressure),EXL Paymentor; EXL Digital Finance Suite; EXL XTRAKTO.AI; EXL NerveHub,cost_pressure -> F&A + intake stack,client_profile (derived from F1/Top Insurers and Brokers + sheet3)
American Family,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
American Modern,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Aviva,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Axis,cost_pressure,Combined ratio > 100 (cost-pressure),EXL Paymentor; EXL Digital Finance Suite; EXL XTRAKTO.AI; EXL NerveHub,cost_pressure -> F&A + intake stack,client_profile (derived from F1/Top Insurers and Brokers + sheet3)
Axis,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Esure Insurance Holdings,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Farmers,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Genworth,function_headroom,Competitor parked in function with high EXL retention headroom,,unmatched,F5/Competitor Analysis/R44; F5/Competitor Analysis/R45
Great Amer P&C Ins Group,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Great American,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Hanover Insurance Group,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F4/P&C Clientwise/R30
Hanover Insurance Group,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),EXL NerveHub; EXL XTRAKTO.AI; EXL EXELIA.AI; EXL Paymentor,concentration -> sequenced multi-solution via NerveHub,client_engagements_summary (derived from F4 + F5)
Hartford,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F5/Competitor Analysis/R18; F5/Competitor Analysis/R19; F5/Competitor Analysis/R20; F5/Competitor Analysis/R21; F5/Competitor Analysis/R32; F4/P&C Clientwise/R32
Hartford,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),EXL NerveHub; EXL XTRAKTO.AI; EXL EXELIA.AI; EXL Paymentor,concentration -> sequenced multi-solution via NerveHub,client_engagements_summary (derived from F4 + F5)
IAG,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Liberty Mutual,cost_pressure,Combined ratio > 100 (cost-pressure),EXL Paymentor; EXL Digital Finance Suite; EXL XTRAKTO.AI; EXL NerveHub,cost_pressure -> F&A + intake stack,client_profile (derived from F1/Top Insurers and Brokers + sheet3)
Liberty Mutual,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F5/Competitor Analysis/R6; F5/Competitor Analysis/R7; F4/P&C Clientwise/R36
Liberty Mutual,function_headroom,Competitor parked in function with high EXL retention headroom,,unmatched,F5/Competitor Analysis/R6; F5/Competitor Analysis/R7; F4/P&C Clientwise/R36
MAPFRE,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Marsh,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Munich Re,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Munich-Amer Hldg Corp Cos,cost_pressure,Combined ratio > 100 (cost-pressure),EXL Paymentor; EXL Digital Finance Suite; EXL XTRAKTO.AI; EXL NerveHub,cost_pressure -> F&A + intake stack,client_profile (derived from F1/Top Insurers and Brokers + sheet3)
Munich-Amer Hldg Corp Cos,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Nationwide,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
Nationwide,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,,unmatched,F5/Competitor Analysis/R15; F5/Competitor Analysis/R28; F4/P&C Clientwise/R17
Nationwide,function_headroom,Competitor parked in function with high EXL retention headroom,,unmatched,F5/Competitor Analysis/R15; F5/Competitor Analysis/R28; F4/P&C Clientwise/R17
QBE,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
State Farm,strategic_low_wallet,Strategic/Named with low EXL wallet share,EXL XTRAKTO.AI; EXL NerveHub,strategic-low-wallet -> low-friction entry stack,client_profile (F1/Top Insurers and Brokers)
