client_canonical,client_raw,cxo_designation,cxo_name,location,exl_ce,voc_source,priority_area,priority_sub_area,opportunity_freetext,sign_off_next_steps,exl_solution,exl_solution_component,solution_life_cycle,extra_solution_code,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Travelers Group,Travelers Group,CEO,Alan Schnitzer,US,Sean,Press Release,Strong Top Line Performance,Extending our advantage in risk expertise,,,,,Not Initiated,,F1,Buyer Priorities,7,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,CEO,Alan Schnitzer,US,Sean,Press Release,Optimizing Operating Leverage,"Providing great experiences for our customers, agents and brokers and employees",,,,,Not Initiated,,F1,Buyer Priorities,8,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,CEO,Alan Schnitzer,US,Sean,Press Release,Optimizing Operating Leverage,Optimizing our productivity and efficiency,,,FNOL,Administrative Support and Services,Not Initiated,,F1,Buyer Priorities,9,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,CEO,Alan Schnitzer,US,Sean,Press Release,Growing Investment Portfolio,,,,,,,,F1,Buyer Priorities,10,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Strong Top Line Performance,Extending our advantage in risk expertise,,,NB_PaaS,"Rating
",Not Initiated,,F1,Buyer Priorities,11,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Strong Top Line Performance,Extending our advantage in risk expertise,,,NB_PaaS,"Analytics Insights and Reporting 
",Not Initiated,,F1,Buyer Priorities,12,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Strong Top Line Performance,Extending our advantage in risk expertise,,,NB_PaaS,Submission to Quote,Not Initiated,,F1,Buyer Priorities,13,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Optimizing Operating Leverage,Optimizing our productivity and efficiency,,,E_E2E,"End to End Endorsement Processing
",Not Initiated,,F1,Buyer Priorities,14,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Optimizing Operating Leverage,"Providing great experiences for our customers, agents and brokers and employees",,,FNOL,Omni Channel Intake,Not Initiated,,F1,Buyer Priorities,15,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Optimizing Operating Leverage,"Providing great experiences for our customers, agents and brokers and employees",,,FNOL,Automated Entry FNOL capability (Thin Human/Heavy Digital),Not Initiated,,F1,Buyer Priorities,16,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Strong Top Line Performance,Extending our advantage in risk expertise,,,FNOL,Predictive Analytics,Not Initiated,,F1,Buyer Priorities,17,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Optimizing Operating Leverage,"Providing great experiences for our customers, agents and brokers and employees",,,FNOL,Conversational IVR,Not Initiated,,F1,Buyer Priorities,18,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Optimizing Operating Leverage,Optimizing our productivity and efficiency,,,Int_Col,"Analytics Led Risk Prioritization & Forecasting
",Not Initiated,,F1,Buyer Priorities,19,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,,#N/A,US,Sean,RM-Meet,Optimizing Operating Leverage,Optimizing our productivity and efficiency,,,Int_Col,Real Time Cash Application ,Not Initiated,,F1,Buyer Priorities,20,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate Ins Group,,#N/A,US,Amit Gaba,Other,Transformative Growth Plan,Expand Customer Access,,,,,,,F1,Buyer Priorities,21,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate Ins Group,,#N/A,US,Amit Gaba,Other,Transformative Growth Plan,Enhance Customer Value Proposition,,,,,,,F1,Buyer Priorities,22,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate Ins Group,,#N/A,US,Amit Gaba,Other,Transformative Growth Plan,Invest in Marketing & Technology,,,,,,,F1,Buyer Priorities,23,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate Ins Group,,#N/A,US,Amit Gaba,Other,Increase Market Share in P&C,Grow exclusive Agencies and Direct Channels,,,,,,,F1,Buyer Priorities,24,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate Ins Group,,#N/A,US,Amit Gaba,Other,Increase Market Share in P&C,Leverage Best-in-Class Operational capabilities,,,,,,,F1,Buyer Priorities,25,2020-08-03,2020-08-03,2026-05-27
CNA,CNA Ins Cos  ,,#N/A,US,Rup Goswami,Press Release,Sustain a deep UW Culture,"Elevate employee execution - continuous training, performance management and governance to support the achievement of top quartile performance",,,,,,,F1,Buyer Priorities,26,2020-08-03,2020-08-03,2026-05-27
CNA,CNA Ins Cos  ,,#N/A,US,Rup Goswami,Press Release,Optimizing distribution engagement ,"Build effective alignment with distribution partners -  product expertise, industry specialization and overall value proposition.",,,,,,,F1,Buyer Priorities,27,2020-08-03,2020-08-03,2026-05-27
CNA,CNA Ins Cos  ,,#N/A,US,Rup Goswami,Press Release,"Attracting, developing and retaining top talent",Invest in our people to create advantage and improve performance,,,,,,,F1,Buyer Priorities,28,2020-08-03,2020-08-03,2026-05-27
CNA,CNA Ins Cos  ,,#N/A,US,Rup Goswami,Press Release,Institutionalizing deep specialization ,"Provide insurance solutions supported by value chains of technical expertise aligned around industry segments, products and exposures",,,,,,,F1,Buyer Priorities,29,2020-08-03,2020-08-03,2026-05-27
