client_canonical,trigger_id,trigger_name,evidence_text,evidence_sources,strength,raw_data,captured_date,ingestion_date
AON,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
AON,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Genpact has ~490 FTEs at this Named account — large displacement target,F5/Competitor Analysis/R46; F5/Competitor Analysis/R47; F5/Competitor Analysis/R48; F5/Competitor Analysis/R49; F5/Competitor Analysis/R50,0.7,competitor=Genpact;ftes=490.0;relationship=Named,2026-05-27,2026-05-27
AON,function_headroom,Competitor parked in function with high EXL retention headroom,"Genpact parked at 'Policy Servicing' (490 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~1400 FTE TAM at this function).",F5/Competitor Analysis/R46; F5/Competitor Analysis/R47; F5/Competitor Analysis/R48; F5/Competitor Analysis/R49; F5/Competitor Analysis/R50,0.73,competitor=Genpact;function=Policy Servicing;kw=policy admin;ftes=490.0;headroom_pct=65.0,2026-05-27,2026-05-27
AXIS US Operations,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 107.3 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=107.3,2026-05-27,2026-05-27
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Accenture has ~300 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R5,0.7,competitor=Accenture;ftes=300.0;relationship=Strategic,2026-05-27,2026-05-27
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Captive has ~5000 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R3,0.7,competitor=Captive;ftes=5000.0;relationship=Strategic,2026-05-27,2026-05-27
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Foundever has ~300 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R6,0.7,competitor=Foundever;ftes=300.0;relationship=Strategic,2026-05-27,2026-05-27
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,WNS has ~300 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R4,0.7,competitor=WNS;ftes=300.0;relationship=Strategic,2026-05-27,2026-05-27
Allstate,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),"Aggregate competitor footprint at this account ~5900 FTEs (8 competitors, 9 engagements)",client_engagements_summary (derived from F4 + F5),0.6,total_ftes=5900.0;num_competitors=8,2026-05-27,2026-05-27
Amer Family Ins Group,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 105.7 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=105.7,2026-05-27,2026-05-27
American Family,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 105.7 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=105.7,2026-05-27,2026-05-27
American Family,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
American Modern,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Aviva,strategic_low_wallet,Strategic/Named with low EXL wallet share,Strategic account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Strategic;share=;exl_client=,2026-05-27,2026-05-27
Axis,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 107.3 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=107.3,2026-05-27,2026-05-27
Axis,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Esure Insurance Holdings,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Farmers,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Genworth,function_headroom,Competitor parked in function with high EXL retention headroom,"Genpact parked at 'Policy Servicing' (300 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~857 FTE TAM at this function).",F5/Competitor Analysis/R44; F5/Competitor Analysis/R45,0.73,competitor=Genpact;function=Policy Servicing;kw=policy admin;ftes=300.0;headroom_pct=65.0,2026-05-27,2026-05-27
Great Amer P&C Ins Group,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
