provider,type,what_they_do,value_chain,applicable_function,market,lob,function_capability,inception_year,ranking_2019,rating_2020,num_solutions,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
ACI Worldwide,Other,"Powers electronic payments for more than 6,000 organizations around the world. More than 1,000 of the largest financial institutions and intermediaries, as well as thousands of global merchants, rely on ACI to execute $14 trillion each day in payments and securities. In addition, myriad organizations utilize ACI’s electronic bill presentment and payment services. Through its comprehensive suite of software solutions delivered on customers’ premises or through ACI’s private cloud, ACI provides real time, immediate payments capabilities and enables an omnichannel payments experience.  digital claims notifications and disbursements, real time claims system integration, text message payments, and personalized marketing promotions.","P & C Claims, Finance","Claims Payment, AP",Both,All,Payment Platform,1975,Not Evaluated,Medium,2,F1,Partnership Landscape,8,2020-08-03,2020-08-03,2026-05-27
acko (India),InsurTech,"A wholly independent digital platform proving general insurance in India, which recently received investment from Amazon. Company is transforming insurance through technology and data-based underwriting and a unique customer-centric approach. The company uses a direct-to-consumer approach for distributing motor insurance, allowing for favorable risk selection and superior underwriting. Personal Auto",Underwriting,Risk Assessment,Personal,Auto,Digital Insurer,,Not Evaluated,Low,0,F1,Partnership Landscape,9,2020-08-03,2020-08-03,2026-05-27
Actec,Other,Seamless third party contact center with associates trained as FNOL intake staff.  Staff augmentation.  24/7.  Proprietary intake platform.  FROI and state specific questions included.  Reporting capabilities.  Customizable scripts.  ,P & C Claims,Claims Processing,Both,"All (WC, Auto, Property)",Contact Center,1989,Not Evaluated,Medium,1,F1,Partnership Landscape,10,2020-08-03,2020-08-03,2026-05-27
American Well,InsurTech,"American Well is a telehealth platform that connects and enables providers, insurers, patients, and innovators to deliver greater access to affordable, high quality care.  With its belief that digital care delivery will transform healthcare, the insurtech offers a single, comprehensive platform to support all telehealth needs from urgent to acute and post-acute care as well as chronic care management and healthy living",Healthcare,Claims Processing,Healthcare,Workers' Comp,Telemedicine Platform,,Not Evaluated,Medium,1,F1,Partnership Landscape,11,2020-08-03,2020-08-03,2026-05-27
AnsaFone,,Contact Center services - inbound and outbound calls.  Some FNOL capabilities - CAT response,P & C Claims,Claims Processing,Both,"All (WC, Auto, Property)",Contact Center,1970,Not Evaluated,Low,1,F1,Partnership Landscape,12,2020-08-03,2020-08-03,2026-05-27
BlockClaim (Sprout.ai),InsurTech,"Developed at Imperial College London, the advanced claims automation and fraud detection plug-in is already used by global insurers across three continents. The technology combines the power of Contextual AI and Block chain, that empowers insurers to settle claims in as little as 24 hours by providing data driven insights. Sprout.ai customers can expect a magnitude of benefits including reduced settlement times, increased fraud detection, reduction in operational costs and industrial grade security",P & C Claims - UK,"Claims Triage, Fraud Analytics",Both,"Health 
Motor
Others Unknown



",Advanced Analytics,2018,Not Evaluated,Low,0,F1,Partnership Landscape,13,2020-08-03,2020-08-03,2026-05-27
Bold Penguin,InsurTech,"Bold Penguin is a commercial insurance exchange that connects customers, agents, and carriers to match the right quote in record time. With a heavy focus on the agents, Bold Penguin pushes the boundaries of user experience for businesses, an easy tool for agents, and a streamlined process of underwriting for carriers.The company operates an Exchange which utilizes a set of solutions to identify, triage, quote, and bind commercial insurance in a highly efficient and tech-enabled way. It plans to deliver on the platform enhancements which include more flexibility in how the core technology is leveraged by enterprise customers, expanding in excess and surplus lines. The Company offers a streamlined process of underwriting for carriers in commercial property and casualty insurance services.",P&C Underwriting,"Underwriting, Acquisition, Broker Management",Commercial,All,Digital Exchange,2016,Not Evaluated,Medium,2,F1,Partnership Landscape,14,2020-08-03,2020-08-03,2026-05-27
BriteCore,InsurTech,"Admin platforms across Policy, Claim and Billing with agency, policy holder and insurer portals. They provide alternative to the legacy system for Small, regional insurance carriers like American Farmers and Ranchers Mutual Insurance Company (AFR) ,Friends Cove, Loudoun(Agency), Jetty (Rental Insurance) etc.",P & C Underwriting & Claims,All,"Personal, Commercial",All,Policy Admin System,,,Low,0,F1,Partnership Landscape,15,2020-08-03,2020-08-03,2026-05-27
Cake,InsurTech,"Care Insure offers an intuitive, easy-to-use and fast mobile platform to help small business owners provide workers' compensation insurance to their employees.  The platform allows organizations to buy WC insurance easily online, is built on top of Salesforce, and bypasses traditional insurance buying approach.  Cake Insure leverages AI to accurately classify the businesses of its clients based not eh description they provide in the platform.  Care also manages digital proof of coverage.  www.cakeinsure.com",P & C Underwriting & Broker,All,Commercial,Workers' Comp,Digital Insurer,,Not Evaluated,Low,0,F1,Partnership Landscape,16,2020-08-03,2020-08-03,2026-05-27
Shift Technology,InsurTech,"Software as a solution for insurers, which utilizes Big Data analytics and Machine Learning technology to improve fraud detection. Company's flagship product provides insurers a decision-making platform speciﬁcally designed for their fraud handlers to scale their capacity to detect a wide spectrum of fraudulent insurance behaviors, from opportunistic to organized crime!  LUKE delivers powerful claims capabilities built around Shift's highly accurate AI decision engine.  Delivers claim automation, easy claim submission, accurate claim vaidation and fraud detection, immediate settlement and payout of simple cliams - augments claim handlers capabilities.   FORCE is the fraud detection suite.  ",P & C Claims ,Fraud Analytics,Both,All,Advanced Analytics,2013,High,High,1,F1,Partnership Landscape,17,2020-08-03,2020-08-03,2026-05-27
