competitor_canonical,competitor_raw,value_chain_segment,research_notes,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Genpact,Genpact,"Sales, Distribution & Broker/MGA Support","Digital and AI-driven operations transformation
Enhanced broker management and submission handling
Solutions that strengthen submission-to-bind ratios",F4,Competitor wise,2,2024-06-01,2024-06-01,2026-05-27
Genpact,Genpact,Underwriting,"Data-driven underwriting using digital and AI technologies
AI-powered pre-bind underwriting automation
Use of specialized AI agents for classification, extraction, anomaly detection, and risk ranking",F4,Competitor wise,3,2024-06-01,2024-06-01,2026-05-27
Genpact,Genpact,Policy Administration,"Automated workflows from submission to binding
Digitized policy servicing and processing
AI-enabled process optimization and reduced administrative burden",F4,Competitor wise,4,2024-06-01,2024-06-01,2026-05-27
Genpact,Genpact,Claims Management,"AI-led automation
Advanced analytics to improve efficiency and recovery
Reengineering of claims workflows to improve customer experience",F4,Competitor wise,5,2024-06-01,2024-06-01,2026-05-27
Genpact,Genpact,Reinsurance Services,"Embedding digital technologies and data capabilities
Enhancing claims recovery
Improving earnings stability with better reinsurance operations",F4,Competitor wise,6,2024-06-01,2024-06-01,2026-05-27
Genpact,Genpact,AI & Agentic AI-Driven Transformation (Cross-Value Chain),"AI Agent Advisory Services to identify and scale AI use cases
Genpact AI Gigafactory to accelerate AI deployment across insurance functions
Responsible AI frameworks with strong bias, privacy, and auditability controls
GCC-as-a-Service to modernize and strengthen Global Capability Centers",F4,Competitor wise,7,2024-06-01,2024-06-01,2026-05-27
Genpact,Genpact,Specialized Domain Solutions,"Data-driven underwriting - L&A
Improved risk management - L&A
AI-enabled customer experiences - P&C
Strategic growth‑driven digital transformation - P&C",F4,Competitor wise,8,2024-06-01,2024-06-01,2026-05-27
Cognizant,Cognizant,Product Development & Innovation,"Generative AI, cloud technologies, and automation to enable agility and faster product iteration.
Modular architectures and agile methodologies for commercial & specialty insurance innovation.",F4,Competitor wise,9,2024-06-01,2024-06-01,2026-05-27
Cognizant,Cognizant,Distribution & Sales,"Supporting personalized, data‑driven customer engagement using AI-driven digital experience orchestration.
Leveraging customer insights to help insurers balance automation with empathy, improving trust and customer satisfaction.",F4,Competitor wise,10,2024-06-01,2024-06-01,2026-05-27
Cognizant,Cognizant,Underwriting,"Adoption of agentic AI systems that extend beyond workflow automation into autonomous, context‑aware decision support.
Digital transformation and ecosystem partnerships (e.g., AWS) that support underwriting modernization and scale.",F4,Competitor wise,11,2024-06-01,2024-06-01,2026-05-27
Cognizant,Cognizant,Policy Administration & Servicing,"Process transformation supported by digital technologies to enhance customer and intermediary experience
Automation and cloud modernization to improve efficiency and service quality across policyholder interactions",F4,Competitor wise,12,2024-06-01,2024-06-01,2026-05-27
Cognizant,Cognizant,Claims Management,"AI‑based customer experience enhancement (balancing automation and empathy).
Operational efficiency improvements supported by digital modernization, noted as a core requirement in the HFS report.",F4,Competitor wise,13,2024-06-01,2024-06-01,2026-05-27
Cognizant,Cognizant,Reinsurance Support,"Transformation across the entire insurance ecosystem, including functions requiring high efficiency, compliance, and operational scale.",F4,Competitor wise,14,2024-06-01,2024-06-01,2026-05-27
Cognizant,Cognizant,"Enterprise Operations, Ecosystem Integration & AI Enablement","AI Builder Strategy & Enterprise‑Scale AI
OneOffice & OneEcosystem Approaches
Data Modernization & Cloud Transformation",F4,Competitor wise,15,2024-06-01,2024-06-01,2026-05-27
WNS,WNS,"Distribution, Marketing & Sales","AI-driven prospecting through behavioral, demographic, and contextual analytics.
Personalized product recommendations and adaptive marketing campaigns enhanced by AI.
Real-time insights for sales teams via digital assistants.",F4,Competitor wise,16,2024-06-01,2024-06-01,2026-05-27
WNS,WNS,Underwriting & Pricing,"AI-driven underwriting transformation, shifting from manual, document-heavy processes to automated, data-driven decisioning.
Multi-agent AI systems enabling human–digital collaboration for complex case handling.
Robust P&C-specific GenAI use cases improving risk selection and pricing.",F4,Competitor wise,17,2024-06-01,2024-06-01,2026-05-27
WNS,WNS,Policy Administration & Servicing,"Hyperautomation and analytics for back-office processes.
AI-powered intelligent operations playbooks referenced in their ""Insurance‑in‑a‑Box"" solution.",F4,Competitor wise,18,2024-06-01,2024-06-01,2026-05-27
WNS,WNS,Claims Management,"Extensive P&C domain expertise (25+ years).
AI-led proprietary digital tools designed to reduce indemnity spend and improve customer experience.
Productized service offerings enabling decision intelligence across claims cycles.",F4,Competitor wise,19,2024-06-01,2024-06-01,2026-05-27
WNS,WNS,Customer Experience (CX) & Engagement,"AI-enabled hyperpersonalized engagement across channels.
Domain-led service delivery enabling insurers to “Outsmart the Future” via intelligent operations.",F4,Competitor wise,20,2024-06-01,2024-06-01,2026-05-27
WNS,WNS,Reinsurance & Back-Office Operations,"End-to-end, outcome-driven insurance processes
Intelligent operations and hyperautomation frameworks
suggest capability coverage across reinsurance support functions",F4,Competitor wise,21,2024-06-01,2024-06-01,2026-05-27
WNS,WNS,"Enterprise-Wide Transformation (AI, Analytics & Intelligent Operations)","AI-powered intelligent operations, including generative AI and agentic AI solutions applied across the insurance value chain.
A strong governance framework enabling safe, scalable AI adoption.
“Insurance-in-a-Box” platform to create configurable, AI-driven insurance operations at scale.
Collaboration with Capgemini (post-acquisition) creating a global powerhouse in agentic AI-enabled operations.",F4,Competitor wise,22,2024-06-01,2024-06-01,2026-05-27
WNS,WNS,Property & Casualty (P&C) Insurance-Specific Solutions,"A deep portfolio of GenAI use cases and analytics-driven workflows.
Human + AI integrated operational models.
Outcome-focused engagement models across distribution, claims, and policy processes.",F4,Competitor wise,23,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,Customer Acquisition & Lead Management,"AI‑powered lead generation & qualification
Personalized quote generation
Licensed insurance sales representatives
Cross‑sell and up‑sell journey orchestration",F4,Competitor wise,24,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,Omnichannel Sales Support,"Multilingual, omnichannel CX teams providing sales and pre‑sales assistance
Digital‑first yet human‑assisted interactions to convert prospects",F4,Competitor wise,25,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,Digital Underwriting & Policy Onboarding,"Digital underwriting workflows
Faster policy decisions supported by automation
AI‑enhanced document handling, validation, and risk triaging",F4,Competitor wise,26,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,Policy Administration & Servicing,"End‑to‑end policyholder support (billing, adjustments, servicing queries)
Multilingual, empathetic service teams
AI‑supported service operations with accent softening tools and real‑time assistance for agents
Unified front‑/mid‑/back‑office operations via their One‑Office model",F4,Competitor wise,27,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,Claims Management,"Customer guidance through FNOL (First Notice of Loss)
Claims intake, processing support, updates, and communication
AI‑enabled claims workflow acceleration
Human‑assisted clarification for complex claim types",F4,Competitor wise,28,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,Fraud Detection & Risk Management,"AI used to detect anomalies and eliminate failure points across claims, sales, and servicing.
Automation that reduces fraud risk and improves decision consistency.",F4,Competitor wise,29,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,Integrated Operations (Unified Front–Mid–Back Office),"One‑Office model integrating CX, operations, analytics, and automation
Analytics‑driven governance and performance management
Scalable operations usable across P&C, life, health, group benefits, pensions, and annuities",F4,Competitor wise,30,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,AI‑Powered Transformation (TP.ai FAB Platform),"Proprietary AI orchestration platform combining AI + human expertise + automation
Enhances licensing, sales, servicing, claims, and fraud workflows
Supports end‑to‑end vertical solutions and AI‑enabled operations",F4,Competitor wise,31,2024-06-01,2024-06-01,2026-05-27
Teleperformance,Teleperformance,Customer Experience (CX) Excellence Across the Value Chain,"Licensed insurance experts providing policyholder guidance
Multilingual and omnichannel CX
Empathetic, human‑centred service augmented by real‑time AI
Personalized experiences from quote → underwriting → policy → claims",F4,Competitor wise,32,2024-06-01,2024-06-01,2026-05-27
Sutherland,Sutherland,Sales & Distribution Support,"AI‑powered customer acquisition and sales enablement
One of the largest licensed talent pools for direct sales and omnichannel support
Digital ecosystems that support personalized customer interactions across channels",F4,Competitor wise,33,2024-06-01,2024-06-01,2026-05-27
Sutherland,Sutherland,Underwriting & Policy Issuance,"Advanced analytics and automated workflows, improving productivity by 40%+
Cloud-based insurance technology enabling faster insights and seamless data integration",F4,Competitor wise,34,2024-06-01,2024-06-01,2026-05-27
Sutherland,Sutherland,Policy Administration & Servicing,"Digitally optimized policyholder engagement, onboarding, and self‑service journeys
Integrated BPaaS solutions improving transparency, service quality, and operational agility",F4,Competitor wise,35,2024-06-01,2024-06-01,2026-05-27
Sutherland,Sutherland,Claims Management,"70%+ straight‑through claims processing via AI‑powered platforms
Faster, more accurate claims adjudication using their TPA‑EDGE digital solution
Streamlined communication and customer‑centric claims support",F4,Competitor wise,36,2024-06-01,2024-06-01,2026-05-27
Sutherland,Sutherland,Customer Experience (CX) & Engagement,"Human‑centric design, omnichannel servicing, and AI‑driven personalization
High‑volume call center and CX operations, demonstrated in case studies handling 720K+ monthly calls",F4,Competitor wise,37,2024-06-01,2024-06-01,2026-05-27
Sutherland,Sutherland,Technology & Digital Transformation Enablement,"AI hubs with 60+ insurance-trained AI agents
End‑to‑end automation, cloud engineering, and digital engineering
Modern functional core systems facilitating speed, agility, and reduced conversion risks",F4,Competitor wise,38,2024-06-01,2024-06-01,2026-05-27
Infosys,Infosys,Product Development & Distribution,"Support digital transformation and modernization initiatives to enhance insurer speed-to-market and competitiveness.
Leverage analytics, automation, and industry insights to help insurers adapt to emerging risks and changing customer expectations.",F4,Competitor wise,39,2024-06-01,2024-06-01,2026-05-27
Infosys,Infosys,New Business & Underwriting,"Underwriting support, including document indexing, quote acknowledgment, binder issuance, rule-based underwriting, and indicative quote generation.
Underwriting efficiency through technology and standardized processes, enabling insurers to focus on core decision-making rather than transactional tasks.
New business setup and underwriting support across P&C, L&A, and other lines.",F4,Competitor wise,40,2024-06-01,2024-06-01,2026-05-27
Infosys,Infosys,Policy Issuance & Policy Administration,"End‑to‑end policy issuance, mid-term endorsements, cancellations, and policy document drafting.
Comprehensive policy administration services across P&C and L&A, including full back-office support.
Platform-based BPO offerings such as VPAS® Life, PMACS®, Deferral+®, enabling faster policy servicing.",F4,Competitor wise,41,2024-06-01,2024-06-01,2026-05-27
Infosys,Infosys,"Billing, Accounting & Financial Operations","Premium auditing, broker statement reconciliations, AP & AR, and other financial operations support for P&C carriers.
Technical accounting, statutory reporting, non-proportional accounting, and specialized billing for reinsurance entities.",F4,Competitor wise,42,2024-06-01,2024-06-01,2026-05-27
Infosys,Infosys,Claims Management & Claims Transformation,"End‑to‑end claims administration, including claims setup, processing, customer servicing, and fraud loss reduction support.
Digital claims transformation, redesigning claims value chains, integrating claims data, and leveraging technology to reduce cycle times and enhance customer experience.
Analytics support for claims, such as reserve forecasting in workers’ compensation.",F4,Competitor wise,43,2024-06-01,2024-06-01,2026-05-27
Infosys,Infosys,Customer Service & Contact Center Operations,"Multi-lingual customer service operations supporting policyholder inquiries, claims, producer services, and general servicing needs.
Robust process optimization and continual improvement frameworks to deliver consistent, high-quality service.",F4,Competitor wise,44,2024-06-01,2024-06-01,2026-05-27
